algorithm,heuristic,rows,cols,obstacle_ratio,seed,runtime,expanded,path_cost,found,used_seed
greedy,octile,40,40,0.2,42,0.00017570899944985285,130,116.0,1,42
astar,octile,40,40,0.2,42,0.0005621250020340085,423,80.0,1,42
ucs,,50,50,0.2,1,0.0015478339992114343,1996,98.0,1,1
greedy,manhattan,50,50,0.2,1,0.0001357910005026497,141,120.0,1,1
astar,manhattan,50,50,0.2,1,0.0014530000044032931,1397,98.0,1,1
greedy,euclidean,50,50,0.2,1,0.00012550000246847048,104,102.0,1,1
astar,euclidean,50,50,0.2,1,0.0016031250052037649,1812,98.0,1,1
greedy,chebyshev,50,50,0.2,1,0.00012920799781568348,108,106.0,1,1
astar,chebyshev,50,50,0.2,1,0.0019007919981959276,1846,98.0,1,1
greedy,octile,50,50,0.2,1,0.00020120800036238506,143,120.0,1,1
astar,octile,50,50,0.2,1,0.0005189590010559186,412,102.0,1,1
ucs,,50,50,0.2,7,0.0015536669961875305,1992,100.0,1,8
greedy,manhattan,50,50,0.2,7,0.00010404200293123722,113,110.0,1,8
astar,manhattan,50,50,0.2,7,0.0015046660046209581,1483,100.0,1,8
greedy,euclidean,50,50,0.2,7,0.00012104199413442984,109,102.0,1,8
astar,euclidean,50,50,0.2,7,0.00162070900114486,1840,100.0,1,8
greedy,chebyshev,50,50,0.2,7,0.00012366600276436657,113,102.0,1,8
astar,chebyshev,50,50,0.2,7,0.0018374170031165704,1859,100.0,1,8
greedy,octile,50,50,0.2,7,0.00015374999929917976,116,112.0,1,8
astar,octile,50,50,0.2,7,0.00042962499719578773,320,102.0,1,8
ucs,,50,50,0.2,13,0.0015534589983872138,1992,98.0,1,13
greedy,manhattan,50,50,0.2,13,0.00011483400157885626,116,108.0,1,13
astar,manhattan,50,50,0.2,13,0.0013469589976011775,1318,98.0,1,13
greedy,euclidean,50,50,0.2,13,0.0001247079999302514,100,98.0,1,13
astar,euclidean,50,50,0.2,13,0.001654375002544839,1830,98.0,1,13
greedy,chebyshev,50,50,0.2,13,0.0001272080044145696,100,98.0,1,13
astar,chebyshev,50,50,0.2,13,0.0018595419969642535,1854,98.0,1,13
greedy,octile,50,50,0.2,13,0.00016095799946924672,116,108.0,1,13
astar,octile,50,50,0.2,13,0.000209833997359965,148,100.0,1,13
ucs,,50,50,0.2,21,0.0016365420015063137,1989,98.0,1,23
greedy,manhattan,50,50,0.2,21,0.00011466599971754476,120,114.0,1,23
astar,manhattan,50,50,0.2,21,0.001294959001825191,1247,98.0,1,23
greedy,euclidean,50,50,0.2,21,0.00012412499927449971,109,106.0,1,23
astar,euclidean,50,50,0.2,21,0.0016115409962367266,1811,98.0,1,23
greedy,chebyshev,50,50,0.2,21,0.00013050000416114926,113,104.0,1,23
astar,chebyshev,50,50,0.2,21,0.0018302500029676594,1851,98.0,1,23
greedy,octile,50,50,0.2,21,0.00016737500118324533,122,116.0,1,23
astar,octile,50,50,0.2,21,0.0002777079935185611,204,100.0,1,23
ucs,,50,50,0.2,42,0.0015491250014747493,1996,98.0,1,42
greedy,manhattan,50,50,0.2,42,0.00013166700227884576,130,118.0,1,42
astar,manhattan,50,50,0.2,42,0.0010885410010814667,1073,98.0,1,42
greedy,euclidean,50,50,0.2,42,0.0001283329984289594,114,104.0,1,42
astar,euclidean,50,50,0.2,42,0.001578458002768457,1740,98.0,1,42
greedy,chebyshev,50,50,0.2,42,0.00013499999477062374,120,104.0,1,42
astar,chebyshev,50,50,0.2,42,0.0018103330003214069,1773,98.0,1,42
greedy,octile,50,50,0.2,42,0.00018304100376553833,127,118.0,1,42
astar,octile,50,50,0.2,42,0.0002697080053621903,182,100.0,1,42
ucs,,70,70,0.18,1,0.0031835840054554865,4009,138.0,1,1
greedy,manhattan,70,70,0.18,1,0.0001649999976507388,162,152.0,1,1
astar,manhattan,70,70,0.18,1,0.003078458998061251,2905,138.0,1,1
greedy,euclidean,70,70,0.18,1,0.00017541700071888044,151,146.0,1,1
astar,euclidean,70,70,0.18,1,0.003478875005384907,3810,138.0,1,1
greedy,chebyshev,70,70,0.18,1,0.00019454100402072072,164,144.0,1,1
astar,chebyshev,70,70,0.18,1,0.003910833002009895,3847,138.0,1,1
greedy,octile,70,70,0.18,1,0.00023220900038722903,162,152.0,1,1
astar,octile,70,70,0.18,1,0.0004464170051505789,304,138.0,1,1
ucs,,70,70,0.18,7,0.0034199159999843687,4005,138.0,1,7
greedy,manhattan,70,70,0.18,7,0.0001744580004015006,154,148.0,1,7
astar,manhattan,70,70,0.18,7,0.0033840839969343506,3029,138.0,1,7
greedy,euclidean,70,70,0.18,7,0.00019220900139771402,152,142.0,1,7
astar,euclidean,70,70,0.18,7,0.003519541001878679,3834,138.0,1,7
greedy,chebyshev,70,70,0.18,7,0.00019225000141886994,159,144.0,1,7
astar,chebyshev,70,70,0.18,7,0.0039297920011449605,3859,138.0,1,7
greedy,octile,70,70,0.18,7,0.00022145899856695905,154,148.0,1,7
astar,octile,70,70,0.18,7,0.000593333003052976,432,140.0,1,7
ucs,,70,70,0.18,13,0.003185749999829568,4015,138.0,1,13
greedy,manhattan,70,70,0.18,13,0.00017749999824445695,178,164.0,1,13
astar,manhattan,70,70,0.18,13,0.002678541997738648,2580,138.0,1,13
greedy,euclidean,70,70,0.18,13,0.00018083299801219255,153,148.0,1,13
astar,euclidean,70,70,0.18,13,0.0034240829991176724,3747,138.0,1,13
greedy,chebyshev,70,70,0.18,13,0.0001870829946710728,157,146.0,1,13
astar,chebyshev,70,70,0.18,13,0.0038170000043464825,3791,138.0,1,13
greedy,octile,70,70,0.18,13,0.00025583399838069454,179,164.0,1,13
astar,octile,70,70,0.18,13,0.0006418749981094152,487,142.0,1,13
ucs,,70,70,0.18,21,0.0031647910000174306,4014,138.0,1,21
greedy,manhattan,70,70,0.18,21,0.00017416699847672135,181,158.0,1,21
astar,manhattan,70,70,0.18,21,0.002762957999948412,2663,138.0,1,21
greedy,euclidean,70,70,0.18,21,0.0001759590013534762,140,138.0,1,21
astar,euclidean,70,70,0.18,21,0.0033827500010374933,3735,138.0,1,21
greedy,chebyshev,70,70,0.18,21,0.00017520799883641303,140,138.0,1,21
astar,chebyshev,70,70,0.18,21,0.0038747079961467534,3777,138.0,1,21
greedy,octile,70,70,0.18,21,0.0002545000024838373,182,158.0,1,21
astar,octile,70,70,0.18,21,0.0005090839986223727,364,138.0,1,21
ucs,,70,70,0.18,42,0.0031640000015613623,4013,138.0,1,42
greedy,manhattan,70,70,0.18,42,0.0001571669999975711,157,152.0,1,42
astar,manhattan,70,70,0.18,42,0.003016541995748412,2882,138.0,1,42
greedy,euclidean,70,70,0.18,42,0.00018620899936649948,157,150.0,1,42
astar,euclidean,70,70,0.18,42,0.003394125000340864,3770,138.0,1,42
greedy,chebyshev,70,70,0.18,42,0.0001948749995790422,163,144.0,1,42
astar,chebyshev,70,70,0.18,42,0.0038044169996283017,3801,138.0,1,42
greedy,octile,70,70,0.18,42,0.00022608300059800968,157,152.0,1,42
astar,octile,70,70,0.18,42,0.00047162499686237425,323,138.0,1,42
greedy,manhattan,100,100,0.15,1,0.0002786250042845495,246,236.0,1,1
astar,manhattan,100,100,0.15,1,0.007191833996330388,6660,198.0,1,1
greedy,euclidean,100,100,0.15,1,0.0002839580047293566,200,198.0,1,1
astar,euclidean,100,100,0.15,1,0.007822374995157588,8230,198.0,1,1
greedy,chebyshev,100,100,0.15,1,0.0002889589959522709,202,198.0,1,1
astar,chebyshev,100,100,0.15,1,0.008916250000766013,8264,198.0,1,1
greedy,octile,100,100,0.15,1,0.00038433300505857915,246,236.0,1,1
astar,octile,100,100,0.15,1,0.002157792005164083,1518,202.0,1,1
greedy,manhattan,100,100,0.15,7,0.0002492080020601861,230,222.0,1,8
astar,manhattan,100,100,0.15,7,0.007312916997761931,6427,198.0,1,8
greedy,euclidean,100,100,0.15,7,0.000279334002698306,204,198.0,1,8
astar,euclidean,100,100,0.15,7,0.00802754199685296,8197,198.0,1,8
greedy,chebyshev,100,100,0.15,7,0.0002773329979390837,204,198.0,1,8
astar,chebyshev,100,100,0.15,7,0.009183875001326669,8249,198.0,1,8
greedy,octile,100,100,0.15,7,0.0003582920035114512,230,222.0,1,8
astar,octile,100,100,0.15,7,0.0009457919950364158,606,198.0,1,8
greedy,manhattan,100,100,0.15,13,0.0002562500012572855,230,222.0,1,13
astar,manhattan,100,100,0.15,13,0.007195291997049935,6329,198.0,1,13
greedy,euclidean,100,100,0.15,13,0.00029970800096634775,209,202.0,1,13
astar,euclidean,100,100,0.15,13,0.008011083999008406,8233,198.0,1,13
greedy,chebyshev,100,100,0.15,13,0.00029141699633328244,209,202.0,1,13
astar,chebyshev,100,100,0.15,13,0.009104167002078611,8294,198.0,1,13
greedy,octile,100,100,0.15,13,0.000450166997325141,230,222.0,1,13
astar,octile,100,100,0.15,13,0.0013225829970906489,923,204.0,1,13
greedy,manhattan,100,100,0.15,21,0.0002749999985098839,240,226.0,1,21
astar,manhattan,100,100,0.15,21,0.006939999999303836,6098,198.0,1,21
greedy,euclidean,100,100,0.15,21,0.00029466699925251305,201,198.0,1,21
astar,euclidean,100,100,0.15,21,0.007573499999125488,8209,198.0,1,21
greedy,chebyshev,100,100,0.15,21,0.0002745000019785948,201,198.0,1,21
astar,chebyshev,100,100,0.15,21,0.00887229100044351,8252,198.0,1,21
greedy,octile,100,100,0.15,21,0.00038225000025704503,241,226.0,1,21
astar,octile,100,100,0.15,21,0.000821542002086062,516,200.0,1,21
greedy,manhattan,100,100,0.15,42,0.0002887500013457611,260,238.0,1,42
astar,manhattan,100,100,0.15,42,0.0072871250013122335,6003,198.0,1,42
greedy,euclidean,100,100,0.15,42,0.00045366700214799494,200,198.0,1,42
astar,euclidean,100,100,0.15,42,0.013612957998702768,8158,198.0,1,42
greedy,chebyshev,100,100,0.15,42,0.00031058400054462254,200,198.0,1,42
astar,chebyshev,100,100,0.15,42,0.0092334579967428,8199,198.0,1,42
greedy,octile,100,100,0.15,42,0.0004265409952495247,261,238.0,1,42
astar,octile,100,100,0.15,42,0.0014674999983981252,861,198.0,1,42
